chunk_id,file_id,sort_id,content,page,total_page,coordinates,reg_id,reg_date,upd_id,upd_date,label,enumerated,section,subsection,subsubsection,subsubsubsection,is_section_title,footnote_id,table_group_id,content_type
3724,5,2,"Standard Specification for General Requirements for Rolled Structural Steel Bars, Plates, Shapes, and Sheet Piling 1",1,63,"[88.305, 637.1940478515625, 456.992, 681.0790478515624]",system,2025-08-14 01:29:52.225517,system,2025-08-14 01:29:52.225517,section_header,False,,,,,False,,,text
3726,5,4,This standard has been approved for use by agencies of the U.S. Department of Defense.,1,63,"[88.305, 582.2770478515625, 362.295, 588.5970478515625]",system,2025-08-14 01:29:52.225517,system,2025-08-14 01:29:52.225517,text,False,,,,,False,,,text
3727,5,5,1. Scope*,1,63,"[31.431, 551.0500478515625, 73.837, 559.7730478515625]",system,2025-08-14 01:29:52.225517,system,2025-08-14 01:29:52.225517,section_header,False,1 Scope*,,,,False,,,section
3728,5,6,"1.1 This general requirements specification 2 covers a group of common requirements that, unless otherwise specified in the applicable product specification, apply to rolled structural steel bars, plates, shapes, and sheet piling covered by each of the following product specifications issued by ASTM:",1,63,"[31.43, 489.6130478515625, 282.914, 546.0960478515625]",system,2025-08-14 01:29:52.225517,system,2025-08-14 01:29:52.225517,list_item,False,1 Scope*,,,,False,,,text
3729,5,7,"1.2 Annex A1 lists permitted variations in dimensions and mass (Note 1) in SI units. The values listed are not exact conversions of the values in Tables 1 to 31 inclusive but are, instead, rounded or rationalized values. Conformance to Annex A1 is mandatory when the 'M' specification designation is used.",1,63,"[300.834, 359.2760478515625, 552.314, 425.3050478515625]",system,2025-08-14 01:29:52.225517,system,2025-08-14 01:29:52.225517,list_item,False,1 Scope*,,,,False,,,text
3730,5,8,"| ASTM 3               | Title of Specification                                                                                                                           | ||| | Designation A36/A36M | Carbon Structural Steel                                                                                                                          | | A131/A131M           | Structural Steel for Ships                                                                                                                       | | A242/A242M           | High-Strength Low-Alloy Structural Steel                                                                                                         | | A283/A283M           | Low and Intermediate Tensile Strength Carbon Steel Plates                                                                                        | | A328/A328M           | Steel Sheet Piling                                                                                                                               | | A514/A514M           | High-Yield Strength, Quenched and Tempered Alloy Steel Plate Suitable for Welding                                                                | | A529/A529M           | High-Strength Carbon-Manganese Steel of Structural Qual- ity                                                                                     | | A572/A572M           | High-Strength Low-Alloy Columbium-Vanadium Steel                                                                                                 | | A573/A573M           | Structural Carbon Steel Plates of Improved Toughness                                                                                             | | A588/A588M           | High-Strength Low-Alloy Structural Steel with 50 ksi (345 MPa) Minimum Yield Point to 4 in. [100 mm] Thick                                       | | A633/A633M           | Normalized High-Strength Low-Alloy Structural Steel Plates                                                                                       | | A656/A656M           | Hot-Rolled Structural Steel, High-Strength Low-Alloy Plate with Improved Formability                                                             | | A690/A690M           | High-Strength Low-Alloy Steel H-Piles and Sheet Piling for Use in Marine Environments                                                            | | A709/A709M           | Carbon and High-Strength Low-Alloy Structural Steel Shapes, Plates, and Bars and Quenched-and-Tempered Alloy Structural Steel Plates for Bridges | | A710/A710M           | Age-Hardening Low-Carbon Nickel-Copper-Chromium-Mo- lybdenum-Columbium Alloy Structural Steel Plates                                             | | A769/A769M           | Carbon and High-Strength Electric Resistance Welded Steel Structural Shapes                                                                      | | A786/A786M           | Rolled Steel Floor Plates                                                                                                                        | | A827/A827M           | Plates, Carbon Steel, for Forging and Similar Applications                                                                                       | | A829/A829M           | Plates, Alloy Steel, Structural Quality                                                                                                          | | A830/A830M           | Plates, Carbon Steel, Structural Quality, Furnished to Chemical Composition Requirements                                                         | | A857/A857M           | Steel Sheet Piling, Cold Formed, Light Gage                                                                                                      | | A871/A871M           | High-Strength Low-Alloy Structural Steel Plate With Atmo- spheric Corrosion Resistance                                                           |",1,63,"[30.213708877563477, 186.201904296875, 280.6925048828125, 486.5015869140625]",system,2025-08-14 01:29:52.225517,system,2025-08-14 01:29:52.225517,table,False,1 Scope*,,,,False,,TABLE_1,table
3731,5,9,"| A913/A913M   | High-Strength Low-Alloy Steel Shapes of Structural Quality, Produced by Quenching and Self-Tempering Process (QST)                        | ||-| | A871/A871M   | High-Strength Low-Alloy Structural Steel Plate With Atmo- spheric Corrosion Resistance                                                    | | A945/A945M   | High-Strength Low-Alloy Structural Steel Plate with Low Carbon and Restricted Sulfur for Improved Weldability, Formability, and Toughness | | A950/A950M   | Fusion Bonded Epoxy-Coated Structural Steel H-Piles and Sheet Piling                                                                      | | A992/A992M   | Steel for Structural Shapes for Use in Building Framing                                                                                   | | A1043/A1043M | Structural Steel with Low Yield to Tensile Ratio for Use in Buildings                                                                     | | A1066/A1066M | High-Strength Low-Alloy Structural Steel Plate Produced by Thermo-Mechanical Controlled Process (TMCP)                                    |",1,63,"[299.8074951171875, 430.9100036621094, 549.1594848632812, 558.6934509277344]",system,2025-08-14 01:29:52.225517,system,2025-08-14 01:29:52.225517,table,False,1 Scope*,,,,False,,TABLE_1,table
3732,5,10,"NOTE 1-The term 'weight' is used when inch-pound units are the standard; however, under SI, the preferred term is 'mass.'",1,63,"[300.835, 333.2440478515625, 552.304, 350.0810478515625]",system,2025-08-14 01:29:52.225517,system,2025-08-14 01:29:52.225517,text,False,1 Scope*,,,,False,,,text
3733,5,11,1.3 Annex A2 lists the dimensions of some shape profiles.,1,63,"[310.314, 318.0720478515625, 550.856, 326.7280478515625]",system,2025-08-14 01:29:52.225517,system,2025-08-14 01:29:52.225517,list_item,False,1 Scope*,,,,False,,,text
3734,5,12,1.4 Appendix X1 provides information on coil as a source of structural products.,1,63,"[300.835, 290.7340478515625, 552.284, 310.8650478515625]",system,2025-08-14 01:29:52.225517,system,2025-08-14 01:29:52.225517,list_item,False,1 Scope*,,,,False,,,text
